,DATA,ABERTURA,FECHAMENTO,VARIAÇÃO,MÍNIMO,MÁXIMO,VOLUME
0,06/02/2020,"13,09",12.82,"-1,00","12,79","13,09","200,86M"
1,05/02/2020,"13,05",12.95,"0,54","12,92","13,19","330,56M"
2,04/02/2020,"13,01",12.88,"0,23","12,86","13,05","168,83M"
3,03/02/2020,"12,88",12.85,"-0,08","12,81","12,98","179,44M"
4,31/01/2020,"12,92",12.86,"-1,68","12,72","12,98","303,12M"
5,30/01/2020,"12,89",13.08,"0,85","12,78","13,08","244,63M"
6,29/01/2020,"13,18",12.97,"-1,07","12,95","13,18","242,86M"
7,28/01/2020,"13,15",13.11,"0,38","13,08","13,22","183,83M"
8,27/01/2020,"13,20",13.06,"-2,17","12,96","13,25","213,56M"
9,24/01/2020,"13,60",13.35,"-1,48","13,31","13,60","146,81M"
10,23/01/2020,"13,21",13.55,"1,96","13,16","13,59","312,80M"
11,22/01/2020,"13,21",13.29,"1,45","13,16","13,33","221,11M"
12,21/01/2020,"13,36",13.1,"-2,31","13,10","13,40","212,18M"
13,20/01/2020,"13,59",13.41,"-1,40","13,30","13,63","202,70M"
14,17/01/2020,"13,50",13.6,"0,82","13,50","13,65","146,80M"
15,16/01/2020,"13,50",13.49,"0,22","13,38","13,55","186,36M"
16,15/01/2020,"13,63",13.46,"-1,61","13,38","13,63","236,42M"
17,14/01/2020,"13,52",13.68,"1,11","13,37","13,68","234,56M"
18,13/01/2020,"13,47",13.53,"1,35","13,39","13,59","311,39M"
19,10/01/2020,"13,50",13.35,"-0,67","13,28","13,66","337,35M"
20,09/01/2020,"13,74",13.44,"-1,97","13,42","13,78","352,61M"
21,08/01/2020,"13,95",13.71,"-1,51","13,68","14,05","267,42M"
22,07/01/2020,"14,12",13.92,"-1,35","13,82","14,14","279,47M"
23,06/01/2020,"14,12",14.11,"-0,21","14,01","14,21","286,06M"
24,03/01/2020,"14,20",14.14,"-1,46","14,12","14,36","309,70M"
25,02/01/2020,"14,14",14.35,"1,85","14,07","14,38","260,59M"
26,30/12/2019,"14,13",14.09,"-0,28","14,01","14,24","175,52M"
27,27/12/2019,"14,20",14.13,"-0,42","13,99","14,26","137,81M"
28,26/12/2019,"13,93",14.19,"1,72","13,91","14,19","142,71M"
29,23/12/2019,"13,89",13.95,"0,72","13,84","13,95","144,07M"
30,20/12/2019,"13,98",13.85,"-0,93","13,84","13,98","327,83M"
31,19/12/2019,"13,90",13.98,"0,07","13,80","13,98","316,71M"
32,18/12/2019,"13,81",13.97,"1,01","13,73","13,97","532,68M"
33,17/12/2019,"13,68",13.83,"1,92","13,63","13,83","234,28M"
34,16/12/2019,"13,74",13.57,"-0,91","13,57","13,89","291,64M"
35,13/12/2019,"13,67",13.69,"0,73","13,48","13,69","293,01M"
36,12/12/2019,"13,68",13.59,"-0,15","13,59","13,77","316,47M"
37,11/12/2019,"13,77",13.61,"-0,29","13,56","13,79","282,33M"
38,10/12/2019,"13,67",13.65,"-0,15","13,53","13,79","227,63M"
39,09/12/2019,"13,51",13.67,"1,63","13,47","13,74","213,29M"
40,06/12/2019,"13,63",13.45,"-0,96","13,43","13,69","235,40M"
41,05/12/2019,"13,65",13.58,"-0,44","13,57","13,79","190,01M"
42,04/12/2019,"13,34",13.64,"2,40","13,32","13,64","217,82M"
43,03/12/2019,"13,40",13.32,"-0,08","13,25","13,44","195,73M"
44,02/12/2019,"13,28",13.33,"0,68","13,26","13,39","178,39M"
45,29/11/2019,"13,24",13.24,"0,15","13,11","13,31","199,68M"
46,28/11/2019,"13,12",13.22,"0,23","13,02","13,25","155,64M"
47,27/11/2019,"13,08",13.19,"1,23","12,98","13,28","197,88M"
48,26/11/2019,"13,35",13.03,"-2,39","12,97","13,36","492,08M"
49,25/11/2019,"13,69",13.35,"-2,41","13,35","13,71","283,12M"
50,22/11/2019,"13,48",13.68,"1,48","13,45","13,68","205,01M"
51,21/11/2019,"13,37",13.48,"0,67","13,35","13,51","228,10M"
52,19/11/2019,"13,59",13.39,"-1,32","13,32","13,64","234,25M"
53,18/11/2019,"13,70",13.57,"-0,22","13,57","13,79","196,60M"
54,14/11/2019,"13,48",13.6,"0,96","13,39","13,63","167,49M"
55,13/11/2019,"13,64",13.47,"-1,67","13,36","13,67","299,10M"
56,12/11/2019,"13,75",13.7,"-1,15","13,47","13,75","213,29M"
57,11/11/2019,"13,72",13.86,"0,95","13,64","13,86","215,26M"
58,08/11/2019,"13,87",13.73,"-1,29","13,62","13,91","233,54M"
59,07/11/2019,"13,99",13.91,"-0,14","13,81","14,05","304,33M"
60,06/11/2019,"14,04",13.93,"-0,78","13,89","14,22","265,74M"
61,05/11/2019,"14,14",14.04,"1,22","13,98","14,22","291,41M"
62,04/11/2019,"13,77",13.87,"1,02","13,70","13,90","167,84M"
63,01/11/2019,"13,72",13.73,"0,36","13,55","13,82","191,74M"
64,31/10/2019,"13,84",13.68,"-1,72","13,58","13,84","314,86M"
65,30/10/2019,"13,72",13.92,"1,23","13,56","13,96","234,64M"
66,29/10/2019,"13,84",13.75,"-0,93","13,74","13,87","195,74M"
67,28/10/2019,"13,70",13.88,"0,87","13,68","13,93","128,24M"
68,25/10/2019,"13,64",13.76,"1,03","13,64","13,82","160,44M"
69,24/10/2019,"13,62",13.62,"-0,07","13,53","13,71","205,39M"
70,23/10/2019,"13,51",13.63,"0,74","13,42","13,70","296,84M"
71,22/10/2019,"13,23",13.53,"2,26","13,21","13,53","311,05M"
72,21/10/2019,"13,04",13.23,"1,45","12,98","13,23","151,52M"
73,18/10/2019,"13,07",13.04,"-0,61","12,99","13,12","153,25M"
74,17/10/2019,"13,10",13.12,"-0,15","13,03","13,23","196,51M"
75,16/10/2019,"12,88",13.14,"1,86","12,71","13,16","237,09M"
76,15/10/2019,"12,88",12.91,"0,15","12,82","13,01","248,29M"
77,14/10/2019,"12,67",12.89,"1,65","12,62","12,89","166,01M"
78,11/10/2019,"12,47",12.68,"2,17","12,45","12,75","250,00M"
79,10/10/2019,"12,30",12.41,"0,81","12,27","12,45","120,25M"
80,09/10/2019,"12,23",12.31,"1,57","12,14","12,38","152,00M"
81,08/10/2019,"12,24",12.12,"-0,33","12,09","12,36","226,59M"
82,07/10/2019,"12,49",12.16,"-2,64","12,16","12,57","267,96M"
83,04/10/2019,"12,53",12.49,"0,08","12,31","12,53","252,76M"
84,03/10/2019,"12,48",12.48,"-1,19","12,41","12,69","252,68M"
85,02/10/2019,"12,63",12.63,"-2,32","12,59","12,83","262,14M"
86,01/10/2019,"12,93",12.93,"-1,75","12,93","13,18","267,90M"
87,30/09/2019,"13,15",13.15,"-1,57","13,15","13,41","222,95M"
88,27/09/2019,"13,36",13.36,"-0,22","13,23","13,41","130,84M"
89,26/09/2019,"13,39",13.39,"2,13","13,05","13,39","229,06M"
90,25/09/2019,"13,11",13.11,"0,61","12,93","13,14","190,76M"
91,24/09/2019,"13,03",13.03,"-0,31","12,95","13,13","174,83M"
92,23/09/2019,"13,07",13.07,"-1,06","12,99","13,17","147,69M"
93,20/09/2019,"13,21",13.21,"1,22","12,99","13,21","422,46M"
94,19/09/2019,"13,05",13.05,"-0,91","12,99","13,33","277,56M"
95,18/09/2019,"13,17",13.17,"0,15","12,99","13,21","174,95M"
96,17/09/2019,"13,15",13.15,"0,46","12,96","13,16","212,39M"
97,16/09/2019,"13,11",13.09,"-0,30","12,91","13,11","413,35M"
98,13/09/2019,"13,13",13.13,"0,38","13,05","13,34","344,45M"
99,12/09/2019,"12,97",13.08,"1,31","12,97","13,16","518,15M"
100,11/09/2019,"12,92",12.92,"-0,31","12,86","13,02","168,03M"
101,10/09/2019,"13,08",12.96,"-0,99","12,88","13,15","242,49M"
102,09/09/2019,"13,08",13.08,"1,24","12,92","13,17","326,47M"
103,06/09/2019,"12,93",12.93,"2,94","12,59","12,94","323,09M"
104,05/09/2019,"12,56",12.56,"3,62","12,16","12,62","370,16M"
105,04/09/2019,"12,10",12.12,"1,59","11,94","12,12","196,75M"
106,03/09/2019,"11,93",11.93,"-1,56","11,88","12,22","199,40M"
107,02/09/2019,"12,12",12.12,"-1,05","12,09","12,30","129,48M"
108,30/08/2019,"12,25",12.25,"0,24","11,96","12,30","274,36M"
109,29/08/2019,"12,22",12.22,"0,49","11,96","12,30","315,71M"
110,28/08/2019,"12,16",12.16,"1,50","11,80","12,16","144,00M"
111,27/08/2019,"11,98",11.98,"1,61","11,77","12,07","515,18M"
112,26/08/2019,"11,79",11.79,"-0,42","11,63","12,02","304,23M"
113,23/08/2019,"11,84",11.84,"-1,41","11,75","12,13","238,95M"
114,22/08/2019,"12,01",12.01,"-1,63","11,99","12,32","160,31M"
115,21/08/2019,"12,21",12.21,"1,24","12,12","12,33","292,89M"
116,20/08/2019,"12,06",12.06,"-1,55","12,01","12,33","165,21M"
117,19/08/2019,"12,25",12.25,"-1,76","12,17","12,58","213,49M"
118,16/08/2019,"12,46",12.46,"0,41","12,34","12,59","225,96M"
119,15/08/2019,"12,41",12.41,"0,24","12,27","12,50","438,75M"
120,14/08/2019,"12,41",12.39,"-1,16","12,29","12,43","342,72M"
121,13/08/2019,"12,36",12.53,"2,54","12,24","12,60","282,47M"
